0.2182,1.3020,0.0071,0.2917,0.0000,0.1142,0.7938,0.0204,0.0042,0.4827
0.7164,0.0007,-0.1460,0.0057,0.3165,-0.0005,0.0027,0.0205,0.6040,-0.0016
-0.0030,0.6453,-0.0819,-0.0458,0.3167,-0.2296,-0.6026,-0.1585,-0.1745,0.0558
-0.0007,0.0022,0.9465,0.0052,0.3122,0.0100,0.0023,0.0482,0.0643,0.0003
-0.0110,-0.1193,-0.0841,0.7705,0.3168,-0.4073,0.2372,-0.1685,-0.1763,-0.0544
-0.0011,-0.7212,-0.0782,-0.3321,0.3166,-0.2441,-0.3901,-0.1458,-0.1732,-0.0167
-0.0007,0.0119,-0.0883,0.0613,0.3167,0.6255,-0.0048,-0.2081,-0.1811,-0.6486
-0.0030,0.2187,-0.0822,-0.5361,0.3167,-0.3029,0.6422,-0.1193,-0.1769,-0.0900
0.0003,-0.0020,-0.1358,0.0340,0.3168,0.0557,-0.0127,0.9076,-0.2303,0.0032
-0.6976,-0.0001,-0.1488,-0.0033,0.3165,0.0081,-0.0004,0.0256,0.6248,0.0005
0.0004,-0.0362,-0.0878,0.0404,0.3167,0.4853,0.1261,-0.2014,-0.1793,0.7516
